MUNICÍPIO,CONFIRMADOS,DESCARTADOS,SUSPEITOS,TOTAL
Almirante Tamandaré,,,1.0,1
Alto Paraná,,3.0,,3
Altônia,,,1.0,1
Alvorada do Sul,,,1.0,1
Ampére,,,1.0,1
Apucarana,,1.0,2.0,3
Arapongas,,,2.0,2
Araucária,,1.0,,1
Assis Chateaubriand,,,2.0,2
Bandeirantes,,,2.0,2
Cambé,,1.0,4.0,5
Campo Largo,1.0,1.0,5.0,7
Capanema,,,1.0,1
Carambeí,,,1.0,1
Cascavel,,12.0,28.0,40
Cianorte,2.0,1.0,3.0,6
Clevelândia,,,1.0,1
Colombo,,1.0,,1
Conselheiro Mairinck,,,1.0,1
Corbélia,,1.0,,1
Cornélio Procópio,,,5.0,5
Coronel Domingos Soares,,,1.0,1
Coronel Vivida,,,3.0,3
Curitiba,31.0,88.0,52.0,171
Faxinal,,,2.0,2
Foz do Iguaçu,1.0,6.0,31.0,38
Francisco Beltrão,,,2.0,2
Guarapuava,,1.0,1.0,2
Guaratuba,,,1.0,1
Guaíra,1.0,,4.0,5
Honório Serpa,,,1.0,1
Ibiporã,,,8.0,8
Irati,,1.0,,1
Ivaiporã,,,2.0,2
Jacarezinho,,,2.0,2
Japira,,,1.0,1
Londrina,3.0,12.0,41.0,56
Mangueirinha,,,5.0,5
Marechal Cândido Rondon,,2.0,,2
Maria Helena,,,1.0,1
Maringá,1.0,8.0,13.0,22
Matinhos,,2.0,1.0,3
Mercedes,,1.0,,1
Nova Aurora,,,1.0,1
Nova Fátima,,,1.0,1
Nova Santa Bárbara,,,1.0,1
Palotina,,2.0,,2
Paranaguá,,3.0,1.0,4
Paranavaí,,,1.0,1
Pato Branco,1.0,,6.0,7
Pitangueiras,,,1.0,1
Ponta Grossa,1.0,16.0,13.0,30
Porecatu,,1.0,1.0,2
Renascença,,,1.0,1
Santo Antônio do Paraíso,,1.0,,1
Santo Antônio do Sudoeste,,,1.0,1
Sertanópolis,,,1.0,1
São José dos Pinhais,,2.0,2.0,4
São João do Caiuá,,2.0,,2
Telêmaco Borba,,,2.0,2
Toledo,,,5.0,5
Tomazina,,,1.0,1
Turvo,,1.0,,1
Umuarama,1.0,1.0,,2
